DT_LEITURA,VL_TEMP_MEDIA
2019-08-31,22.2714364
2019-09-01,17.8897091
2019-09-02,16.7906727
2019-09-03,17.9072727
2019-09-04,16.6837455
2019-09-05,13.9749455
2019-09-06,15.1407273
2019-09-07,21.1522182
2019-09-08,23.9082364
2019-09-09,25.1036727
2019-09-10,25.5795455
2019-09-11,26.6079636
2019-09-12,26.6653818
2019-09-13,20.0817818
2019-09-14,19.6140545
2019-09-15,22.6616364
2019-09-16,25.7833455
2019-09-17,25.9549091
2019-09-18,25.2518182
2019-09-19,21.9637455
2019-09-20,21.9672545
2019-09-21,18.0748727
2019-09-22,16.3312909
2019-09-23,14.5300364
2019-09-24,16.3521091
2019-09-25,16.4138364
2019-09-26,16.7456909
2019-09-27,17.1972000
2019-09-28,15.6117818
2019-09-29,17.8727273
2019-09-30,19.2960727
2019-10-01,22.4853818
2019-10-02,24.9289091
2019-10-03,21.4776000
2019-10-04,21.1526364
2019-10-05,23.5615091
2019-10-06,20.1936182
2019-10-07,18.1425455
2019-10-08,17.6871091
2019-10-09,18.0706727
2019-10-10,20.6153636
2019-10-11,22.6616182
2019-10-12,25.9172182
2019-10-13,27.6577091
2019-10-14,24.4224000
2019-10-15,20.8480364
2019-10-16,20.9827091
2019-10-17,22.6287091
2019-10-18,23.6689091
2019-10-19,22.5238364
2019-10-20,17.2384545
2019-10-21,17.1556182
2019-10-22,19.4139455
2019-10-23,20.2504909
2019-10-24,21.4465091
2019-10-25,22.0560000
2019-10-26,21.7108545
2019-10-27,26.0899455
2019-10-28,25.3109455
2019-10-29,25.8445091
2019-10-30,26.7104364
2019-10-31,24.2074545
2019-11-01,22.8410182
2019-11-02,23.7858364
2019-11-03,26.5816364
2019-11-04,27.9670909
2019-11-05,24.6456727
2019-11-06,19.4036909
2019-11-07,19.8342364
2019-11-08,20.3556182
2019-11-09,21.6784727
2019-11-10,22.4460182
2019-11-11,20.2452545
2019-11-12,20.2505091
2019-11-13,21.3364545
2019-11-14,21.9634182
2019-11-15,19.1287636
2019-11-16,18.3666545
2019-11-17,19.0111455
2019-11-18,19.0834545
2019-11-19,21.2045636
2019-11-20,21.7256909
2019-11-21,22.8810727
2019-11-22,24.7674545
2019-11-23,23.6276727
2019-11-24,16.8698000
2019-11-25,17.7419455
2019-11-26,20.7957818
2019-11-27,22.8213818
2019-11-28,19.1548364
2019-11-29,18.3307636
2019-11-30,22.6961455
2019-12-01,23.7803455
2019-12-02,18.5087455
2019-12-03,17.9824182
2019-12-04,21.7860545
2019-12-05,23.7838364
2019-12-06,19.8656909
2019-12-07,21.0417455
2019-12-08,20.9505818
2019-12-09,21.7333091
2019-12-10,21.4662364
2019-12-11,21.4181091
2019-12-12,22.5156727
2019-12-13,23.6779091
2019-12-14,23.0409636
2019-12-15,24.7994545
2019-12-16,26.3003455
2019-12-17,24.4328545
2019-12-18,20.9429455
2019-12-19,20.9807455
2019-12-20,22.8389273
2019-12-21,24.5560000
2019-12-22,23.9450364
2019-12-23,22.5656000
2019-12-24,21.8549091
2019-12-25,23.4746364
2019-12-26,23.4217273
2019-12-27,22.5604182
2019-12-28,24.2856545
2019-12-29,24.2750727
2019-12-30,23.6874545
2019-12-31,24.6639455
2020-01-01,25.4760182
2020-01-02,22.6226182
2020-01-03,20.9993455
2020-01-04,21.5683636
2020-01-05,21.7042000
2020-01-06,24.6288182
2020-01-07,25.4969091
2020-01-08,24.2641818
2020-01-09,24.5988000
2020-01-10,26.3513091
2020-01-11,27.4522182
2020-01-12,24.4334727
2020-01-13,22.0145636
2020-01-14,21.9331455
2020-01-15,24.7792182
2020-01-16,26.6576545
2020-01-17,19.7412364
2020-01-18,19.8189455
2020-01-19,21.1735091
2020-01-20,21.4974909
2020-01-21,21.1385636
2020-01-22,21.0944545
2020-01-23,19.4414364
2020-01-24,19.5026364
2020-01-25,21.0015273
2020-01-26,22.9904909
2020-01-27,24.8852182
2020-01-28,25.0269636
2020-01-29,25.4293273
